text,discourse_relation
"The bottle was old, and the glass too.",elaboration
william made an offer to trade 1 sheep for 2 ore.,elaboration
"The ravens croaked as the raven had done which she saw in the daytime, but now she understood what they said.",elaboration
I have...,elaboration
"Here they remained, and the angel hovered over a small, narrow street, in which lay a large heap of straw, ashes, and sweepings from the houses of people who had removed.",elaboration
Anyone prepared to trade ore for wood?,elaboration
How do I trade with a port?,elaboration
I can sell an ore for wood or wheat,elaboration
ok...ore?,elaboration
"need to keep mine,",elaboration
"gotwood4sheep made an offer to trade 1 ore, 1 wheat for 1 sheep.",elaboration
"The tailor stood still, and looked at the seat for a long time, for it pleased him better than all else.",elaboration
mmatrtajova made an offer to trade 1 sheep for 1 wheat.,elaboration
"And there was one sitting as still as any little maiden, and wishing only for peace and quietness.",elaboration
oh,elaboration
a more likely possibility - any wood?,elaboration
how many +1 did you have inca?,elaboration
"The young man felt the truth of the proverb, Still waters run deep: and his heart had sunk into their depths.",elaboration
Gaeilgeoir made an offer to trade 1 ore for 1 wood.,elaboration
Reactivate our ore,elaboration
What might he have thought when he plucked and kept it?,elaboration
no clay here sorry,elaboration
yep...,elaboration
inca made an offer to trade 1 wood for 1 sheep.,elaboration
earlier..,elaboration
"ok,",elaboration
"The two children therefore got up, dressed themselves quickly, and went away.",elaboration
I got sheep,elaboration
"The cat was pleased with the thought, and joined the party.",elaboration
Same here...,elaboration
"Hans was delighted as he sat on the horse, drew himself up, squared his elbows, turned out his toes, cracked his whip, and rode merrily off, one minute whistling a merry tune, and another singing,",elaboration
"The young man felt the truth of the proverb, Still waters run deep: and his heart had sunk into their depths.",elaboration
or I drop out and you 2 play with Wolfie,elaboration
"The glass with the foot of blue wood was the only thing that did not sink, for the wood floated and the glass drifted away to be cast upon the shore and broken; where and when, is indeed of no consequence.",elaboration
Your Majesty must admire the colours and the pattern.,elaboration
for?,elaboration
"The wind cut through the rigging, and the boat cut through the sea.",elaboration
"In the anguish of his heart the King consented, and the old woman led him to her little hut, where her daughter was sitting by the fire.",elaboration
"When he came to an inn, he halted, ate up all his bread, and gave away his last penny for a glass of beer.",elaboration
yeh...,elaboration
anyne have wheat?,elaboration
"Ah, me! said the cat, how can one be in good spirits when ones life is in danger?",elaboration
"The poor old minister tried his very best, but he could see nothing, for there was nothing to be seen.",elaboration
dog eat dog world...,elaboration
"One servant only- an old maid- remained faithful to her; and with the old servant, the widow herself followed the plough; and the crop grew, although the land had been cursed by the Pope and by the bishop.",elaboration
This proposal was adopted by acclamation.,elaboration
"In the meantime, by the light of my night-lamp, I saw the stranger enter my room through two doors which were fast bolted.",elaboration
yes ore,elaboration
no worries.,elaboration
got sheep by any chance?,elaboration
How do I trade with a port?,elaboration
What do you want?,elaboration
i can exchange wood,elaboration
Kersti made an offer to trade 1 sheep for 1 wood.,elaboration
"These three, therefore did not go; the others went on.",elaboration
"Neither the cockchafer, nor the toad, nor the earth-worm, whom they questioned about it, would give them the least information; for none of their relations had ever been cooked or served on a silver dish.",elaboration
"that has changed,",elaboration
"No, answered the cat.",elaboration
"Sure,",elaboration
have just the one,elaboration
Chameleon: Only for wheat,elaboration
sunday do you mean?,elaboration
I need wood or wheat.,elaboration
CheshireCatGrin made an offer to trade 1 clay for 1 ore.,elaboration
Only got that one,elaboration
Ghettoette made an offer to trade 1 ore for 1 wood.,elaboration
I see...,elaboration
"What- what were you- were you pleased to ob- stammered he- and all the clerks wrote down, pleased to ob- He is of no use! said the Princess.",elaboration
Poor Hans was sadly frightened.,elaboration
>>> Tomm has won the game with 10 points.,elaboration
"The straw therefore stretched itself from one bank to the other, and the coal, who was of an impetuous disposition, tripped quite boldly on to the newly-built bridge.",elaboration
>>> Josephine has won the game with 10 points.,elaboration
"When the little girl heard this (for she stood behind the door all the time and listened), she ran forward, and in an instant all the ravens took their right form again; and all hugged and kissed each other, and went merrily home.",elaboration
sure,elaboration
"Many had already made the attempt, but in vain; nevertheless when the youth saw the kings daughter he was so overcome by her great beauty that he forgot all danger, went before the king, and declared himself a suitor.",elaboration
bloody hell...,elaboration
"This frightened him dreadfully, and away he ran to the back door; but there the dog jumped up and bit him in the leg; and as he was crossing over the yard the ass kicked him; and the cock, who had been awakened by the noise, crowed with all his might.",elaboration
>>> william has won the game with 10 points.,elaboration
He went to put away the mowing machine.,elaboration
"She rustled across the paper bag, and awakened Benjamin Bunny.",elaboration
"Then he went to the king, and told him all his brothers roguery; and they were seized and punished, and he had the princess given to him again; and after the kings death he was heir to his kingdom.",elaboration
Would anybody like wood?,elaboration
nelsen made an offer to trade 1 ore for 1 clay.,elaboration
"The customers come again and again, and buy quantities, in spite of being afraid of Ginger and Pickles.",elaboration
Anyone got clay or wood for wheat?,elaboration
"The fox, full of all kinds of arrogance, looked at the cat from head to foot, and for a long time did not know whether he would give any answer or not.",elaboration
"Gretel was not idle; she ran screaming to her master, and cried: You have invited a fine guest!",elaboration
"The ecclesiastics recognized therein the token from above, and asked him on the spot if he would be pope.",elaboration
Then Benjamin and Flopsy thought that it was time to go home.,elaboration
"Then she ran to her little cabin, washed herself quickly, and took her dress out which was silvery as the moon, and put it on; and when she went in, looking like a kings daughter, the king went up to her, and rejoiced at seeing her again, and when the dance began he danced with her.",elaboration
"He said, I will manage it, just you go away to bed.",elaboration
"She, however, did everything he bade her, without opposition, silently and with halfshut eyes.",elaboration
"One night, when her husband listened, as he often did, to her breathing, he quite believed that she had at length found rest and relief in sleep.",elaboration
"And yet my father was not a skin-dresser nor an executioner; on the contrary, his employment placed him at the head of the grandest people of the town, and it was his place by right.",elaboration
^^ i need sheep as always,elaboration
1 clay for 1 sheep?,elaboration
"But the cat, not understanding this joke, sprang at his face, and spat, and scratched at him.",elaboration
"They rolled their eyes, and mother owl, beating her wings, said: Don't listen to her!",elaboration
i just want some wood,elaboration
"So he cut off her head, and as she was being dressed for the spit, the queens ring was found inside her.",elaboration
anyone got clay,elaboration
"One servant only- an old maid- remained faithful to her; and with the old servant, the widow herself followed the plough; and the crop grew, although the land had been cursed by the Pope and by the bishop.",elaboration
"I should be very silly, said he, if I went to that shabby house, and left this charming place; so he went into the smart house, and ate and drank at his ease, and forgot the bird, and his country too.",elaboration
"last again, sheesh",elaboration
how about this.,elaboration
I would like some ore.,elaboration
http://www.catan.com/en/download/?SoC_rv_Rules_091907.pdf,elaboration
"The Lord, in a dream, had been a guide to her feet and a light to her spirit.",elaboration
how did tuesdays game go?,elaboration
"Hans, however, went with them, and when it was night they came to a cave in which they lay down to sleep.",elaboration
The guards that stood at the castle gate were called in: but they had seen no one.,elaboration
:D,elaboration
You just nicked my wheat :P,elaboration
"Sweetly she dreamed, and while she dreamt, her life passed away calmly and gently, and her spirit was with him whom she loved, in heaven.",elaboration
Cardlinger made an offer to trade 1 wheat for 1 sheep.,elaboration
"haha,",elaboration
can someone give me an ore??,elaboration
"The old church bell had long been quite forgotten, and no one imagined it would ever again be sent to the melting furnace to make it as it was before.",elaboration
"Then the grandfather nodded to a place above the looking-glass, where hung an almanac, with a representation of the Round Tower upon it, and said Tycho Brahe was another of those who used a sword, but not one to cut into the flesh and bone, but to make the way of the stars of heaven clear, and plain to be understood.",elaboration
mmm,elaboration
what about ore,elaboration
Cat made an offer to trade 1 wheat for 1 ore.,elaboration
Joel made an offer to trade 1 wheat for 1 sheep.,elaboration
"Presently there was a little scuffling, scratching noise in a corner near the fireplace, where there was a hole under the skirting-board.",elaboration
>>> sabercat has won the game with 10 points.,elaboration
The poor little elf was very much frightened.,elaboration
"Then the Lord had the tailor brought before him, and asked him if he had taken away the stool, and where he had put it?",elaboration
Tyrant Lord made an offer to trade 1 wood for 1 wheat.,elaboration
"Then he gave her some wine and bread, and when she had regained her strength, he raised her up and they went to the door and knocked, and called so loudly that the sentries heard it, and told the King.",elaboration
"Her beautiful, noble child had been a dear angel, and possessed the kindest heart; he had loved her so much, and she had loved him in return; they had kissed and loved each other, and the boy had been her joy, her second life.",elaboration
"The fourth had to carry in a dish that was covered, and the lord told the doctor that he was to show his skill, and guess what was beneath the cover.",elaboration
"She did not dare to oppose him, and went and put a huge caldron full of food on the fire, and when it was ready, carried it in.",elaboration
well done! ,elaboration
yay,elaboration
"Little scraps which fall off the table of their own accord are not stolen, and are not worth speaking about.",elaboration
Ghettoette made an offer to trade 1 clay for 1 wood.,elaboration
"Great game,",elaboration
na..,elaboration
gotwood4sheep made an offer to trade 1 wood for 1 wheat.,elaboration
"Waltzes and Styrian dances are given, and Danish popular songs, and melodies of foreign lands in these modern times.",elaboration
"apologies all,",elaboration
"His mother also told him how the chiming of that old bell had once filled her heart with joy and confidence, and that in the midst of the sweet tones her child had been given to her.",elaboration
"The greedy King set out in all haste, and when he came to the river he beckoned to the ferry-man to put him across.",elaboration
nareik??,elaboration
are you almost done?,elaboration
The mouse at once asked what name had been given to the third child.,elaboration
I think the trade is wrong?,elaboration
"great,",elaboration
got another 1,elaboration
Getting a bit of a deja vu here...,elaboration
"He was quite pleased when he looked out and saw large drops of rain, splashing in the pond--",elaboration
can i get an ore from someone?,elaboration
"Presently the kings daughter herself came down into the garden, and was amazed to see that the young man had done the task she had given him.",elaboration
"She did not know what that was, she thought and thought, but she could not find out, she opened her riddle-books, but it was not in them---in short, her wisdom was at an end.",elaboration
I was nicer that time,elaboration
"i have an ore,",elaboration
man,elaboration
mmatrtajova made an offer to trade 1 wheat for 1 wood.,elaboration
"She was a study for the sculptor to contemplate, but not to converse with; for she did not speak, or, at least, very seldom.",elaboration
wait,elaboration
anyone needs wheat,elaboration
sure,elaboration
gotwood4sheep made an offer to trade 1 ore for 1 sheep.,elaboration
"I mean, nine resources,",elaboration
"SO, I need wheat.",elaboration
"When the dance was at an end she curtsied; and when the king looked round for her, she was gone, no one knew wither.",elaboration
what do you want?,elaboration
>>> nareik15 has won the game with 10 points.,elaboration
Clay,elaboration
let me know what you want and your offers,elaboration
"There was no one in the nursery, and it was very quiet.",elaboration
both,elaboration
"There was, however, no one at home but old Lucifer and the crooked devils who had just been doing their evil work in the world.",elaboration
Nancy made an offer to trade 1 clay for 1 ore.,elaboration
gotwood4sheep made an offer to trade 1 wood for 1 wheat.,elaboration
"why Amy, why?",elaboration
No; he did not like her.,elaboration
"And she delivered her papers, and took Puggie upon her arm.",elaboration
"I am ready, said the emperor.",elaboration
ljaybrad123 built a settlement.,elaboration
gramos made an offer to trade 1 ore for 1 sheep.,elaboration
"The bridegroom arrived and also a large company of guests, for the miller had taken care to invite all his friends and relations.",elaboration
can anyone trade wood?,elaboration
"Then her friend the bird flew out of the tree, and brought a gold and silver dress for her, and slippers of spangled silk; and she put them on, and followed her sisters to the feast.",elaboration
ahh 7,elaboration
"No, answered the cat.",elaboration
i'll give you a clay,elaboration
it would be great if we could have another one before friday,elaboration
any chance of a sheep AND a wheat?,elaboration
wheat,elaboration
so what do we do now?,elaboration
anyone has clay?,elaboration
No one could possibly have foretold this.,elaboration
"How tall, and slender, and thin he had grown; but the eyes and the sweet angel mouth were still beautiful.",elaboration
"tomas.kostan made an offer to trade 1 sheep, 2 wheat for 2 wood.",elaboration
I'm UK,elaboration
i can offer wood?,elaboration
anyone can give me a sheep?,elaboration
"He had been too long choosing, which is always a bad plan.",elaboration
The lights burn clear in the heavy brass candelabra.,elaboration
Yes!,elaboration
Tom Thumb and Hunca Munca went cautiously across the hearthrug.,elaboration
Tom Thumb and Hunca Munca went upstairs and peeped into the dining-room.,elaboration
"The magician appeared once again, and said he had changed my brother into a stag, my castle with all that belonged to it, diminished in size by his arts, he had shut up in the other glass chest, and my people, who were all turned into smoke, he had confined in glass bottles.",elaboration
"Then the procession went onwards, and they reached the stream.",elaboration
think i had 4/5 cities in the end,elaboration
gaeilgeoir made an offer to trade 1 ore for 1 wheat.,elaboration
"This frightened him dreadfully, and away he ran to the back door; but there the dog jumped up and bit him in the leg; and as he was crossing over the yard the ass kicked him; and the cock, who had been awakened by the noise, crowed with all his might.",elaboration
"I dressed myself quickly, ordered my palfrey to be saddled, and accompanied only by one servant, rode full gallop to the forest.",elaboration
wrong personage,elaboration
"mmatrtajova made an offer to trade 1 clay, 1 wood for 2 ore.",elaboration
"nice game, catanstrophe",elaboration
no,elaboration
How well they fit! said all.,elaboration
"And having said all this, the elf vanished.",elaboration
that's ok.,elaboration
i have some wheat,elaboration
"So when Frederick and Catherine came down, there they found all their money safe and sound.",elaboration
Joel traded 1 wheat for 1 clay from Euan.,elaboration
"No, answered they, hes a foundling.",elaboration
wheat,elaboration
I'd like some wheat?,elaboration
"The glass with the foot of blue wood was the only thing that did not sink, for the wood floated and the glass drifted away to be cast upon the shore and broken; where and when, is indeed of no consequence.",elaboration
"Then the king was obliged to keep his word, and away went the young man and the princess; and the fox came and said to him, We will have all three, the princess, the horse, and the bird.",elaboration
"That depends upon wind and weather, said the elf king; they travel economically.",elaboration
"So the good young fellow alighted and killed his horse with his sword, and gave it to them for food.",elaboration
no,elaboration
"Their parents stuffed the empty sack with three rotten vegetable marrows, an old blackingbrush and two decayed turnips.",elaboration
"The pressure of regularity and discipline here stamped the jewel, which in the future the world so well knew.",elaboration
"The poor people in the town, and still more the strangers, were continually making mistakes in the people they wanted to see; nor was this to be avoided, when they went according to the shields that were hung up.",elaboration
"Her beautiful, noble child had been a dear angel, and possessed the kindest heart; he had loved her so much, and she had loved him in return; they had kissed and loved each other, and the boy had been her joy, her second life.",elaboration
"She next opened her nutshell, and brought out of it the dress that shone like the sun, and so went to the feast.",elaboration
a more likely possibility - any wood?,elaboration
I'm after ore,elaboration
"The third day, when her father and mother and sisters were gone, she went again into the garden, and said:",elaboration
"Frederick slipped down on the other side, and picked up some stones.",elaboration
"There was no air beside the hot burning sulphur flame, and there was no ground under their feet; they, the wicked ones, sank deeper and deeper, while eternal silence surrounded them!",elaboration
"Alas, alas! said Hans, who would have thought it?",elaboration
I do have wood.,elaboration
would anyone like wheat?,elaboration
"tomas.kostan made an offer to trade 1 wood for 1 sheep, 1 wheat.",elaboration
sabercat made an offer to trade 1 wood for 1 ore.,elaboration
He is her helper and defender.,elaboration
yiin made an offer to trade 2 sheep for 2 clay.,elaboration
not that,elaboration
loads,elaboration
"She could not speak to any one, and she had no inclination to laugh; she sat there and looked at nothing but her work.",elaboration
"That was very cleverly done, observed the Princess.",elaboration
"or when can you do,",elaboration
np,elaboration
"Early next morning the forester got up and went out hunting, and when he was gone the children were still in bed.",elaboration
"And the soldier broke a branch from each; and every time there was a loud noise, which made the youngest sister tremble with fear; but the eldest still said, it was only the princes, who were crying for joy.",elaboration
"Then her friend the bird flew out of the tree, and brought a gold and silver dress for her, and slippers of spangled silk; and she put them on, and followed her sisters to the feast.",elaboration
raefbrisbin made an offer to trade 1 wheat for 1 ore.,elaboration
"That depends upon wind and weather, said the elf king; they travel economically.",elaboration
The cats mouth soon began to water for some more licking.,elaboration
"Ding-dong! ding-dong! sounded the Bell, when the tower still stood there; and one evening, while the sun was setting, and the Bell was swinging away bravely, it broke loose and came flying down through the air, the brilliant metal shining in the ruddy beam.",elaboration
"The fox's skin, the honorable sign of the furrier, was found fastened to the bell-pull of a young man who always went to early lecture, and looked like a furled umbrella.",elaboration
you must have been close,elaboration
"When therefore the evening came, our little tailor was taken down to the bear.",elaboration
anyone need sheep?,elaboration
"This shall be my last pleasure, thought he, pulled it out, lit it at the blue light and began to smoke.",elaboration
i have wood,elaboration
"i mostly like late romantic /20th century composers,",elaboration
"Ah, yes; that is indeed a noble heart in the Danish arms, said the grandfather. and his spirit followed the second flame, which carried him out to sea, where cannons roared and the ships lay shrouded in smoke, and the flaming heart attached itself to the breast of Hvitfeldt in the form of the ribbon of an order, as he blew himself and his ship into the air in order to save the fleet.",elaboration
how's things?,elaboration
no clay here sorry,elaboration
Anyone got clay or wood for wheat?,elaboration
"The old white snails were the most aristocratic race in the world,- they knew that.",elaboration
well done! ,elaboration
who got clay,elaboration
"When he had walked for some time, he came to a small farm, and asked the bailiff if he did not require a head-servant.",elaboration
"When he had eaten and drunk he was tired, and laid his head in his grandmothers lap, and before long he was fast asleep, snoring and breathing heavily.",elaboration
"It has struck, and is fast embedded in the sand; but the rocket apparatus has thrown a rope on board, and formed a bridge from the wreck to the mainland; and all on board are saved, and reach the land, and are wrapped in warm blankets; and to-day they are invited to the farm at the convent of Borglum.",elaboration
any chance of a sheep AND a wheat?,elaboration
"And when she had offered this prayer, her heart felt lighter.",elaboration
"Now I shall go and tell the student, said the goblin; and with these words he went quietly up the back stairs to the garret where the student lived.",elaboration
"The little one, with its bright eyes and golden hair, had been welcomed joyously on that dark November day.",elaboration
"Then a little cart passed by and said, Why art thou sweeping, little broom?",elaboration
IG made an offer to trade 2 wheat for 1 wood.,elaboration
The policeman had disappeared.,elaboration
catanstrophe made an offer to trade 1 ore for 1 wheat.,elaboration
"i have wood, ",elaboration
"When the wolf was gone, came a dog, a stag, a hare, a bear, a lion, and all the beasts of the forest, one after the other.",elaboration
"The King said, I will make the dead alive again, and opened the chamber, and bade the two come out.",elaboration
anyone got more clay?,elaboration
oh well,elaboration
"that's cool,",elaboration
just wheat,elaboration
"For years she had not been able to weep, but had only bitten her lips till the blood started.",elaboration
"The little girl took the piece of wood, rolled it up in a little cloth, and went on again until she came to the glass-mountain, and found the door shut.",elaboration
inca made an offer to trade 1 wood for 1 sheep.,elaboration
WoodnSheep made an offer to trade 1 clay for 1 sheep.,elaboration
"Spring went by, and summer drew towards its close; autumn came; but he had not decided.",elaboration
>>> catanstrophe has won the game with 10 points.,elaboration
for anything,elaboration
yess,elaboration
"The King, who had a bad heart, and was angry about the prophecy, went to the parents, and, seeming quite friendly, said, You poor people, let me have your child, and I will take care of it.",elaboration
"oh now i do,",elaboration
She looked suspiciously at the sack and wondered where everybody was?,elaboration
"And so said, so done.",elaboration
dmm made an offer to trade 1 sheep for 1 wheat.,elaboration
"The wolf swallowed down the pancakes in an instant, and said, They make one want more, and went thither and tore the whole dish down so that it broke in pieces.",elaboration
ore fro sheep?,elaboration
"me neither,",elaboration
"Now it chanced that an old soldier, who had been wounded in battle and could fight no longer, passed through the country where this king reigned: and as he was travelling through a wood, he met an old woman, who asked him where he was going.",elaboration
anyone got clay?,elaboration
oh wait,elaboration
"He was appointed Bellringer to the World, and wrote every year a short dissertation on the owl, but by this means people did not become any wiser than they had been before.",elaboration
Remember that the easiest way to play is to negotiate trades!,elaboration
oh,elaboration
"There was nothing remarkable about the pen, excepting that it had been dipped too deeply in the ink, but it was proud of that.",elaboration
does anyone have any clay to trade?,elaboration
"Next day the youthful pair started for Copenhagen, where they were to live; mamma-in-law accompanied them, to attend to the coarse work, as she always called the domestic arrangements.",elaboration
catanstrophe made an offer to trade 1 wood for 1 sheep.,elaboration
"Many had already made the attempt, but in vain; nevertheless when the youth saw the kings daughter he was so overcome by her great beauty that he forgot all danger, went before the king, and declared himself a suitor.",elaboration
"ok,",elaboration
"She washed the blood off him, laid herbs on the wound, and said, Go to your bed, dear roe, that you may get well again.",elaboration
"She passed through the garden, to a path across a field that led to the churchyard.",elaboration
"When that was over, the tailor took out a violin from beneath his coat, and played a piece of it to himself.",elaboration
"well, thats a problem.",elaboration
gaeilgeoir made an offer to trade 1 sheep for 1 wood.,elaboration
"Anne Lisbeth had now lived in the town many years; she was called Madame, and felt dignified in consequence; she remembered the old, noble days, in which she had driven in the carriage, and had associated with countess and baroness.",elaboration
ztime made an offer to trade 1 wheat for 1 wood.,elaboration
Ginger and Pickles gave unlimited credit.,elaboration
"At the bottom,",elaboration
sorry,elaboration
* The Danish sculptor Thorwaldsen.,elaboration
"Hark, so you hear the cock crow, little Tuk.",elaboration
"He was as well formed and as beautiful as a little child could be, and had wings that reached from his shoulders to his feet.",elaboration
anyone want wood?,elaboration
ztime stole a resource from somdechn,elaboration
what happens now?,elaboration
"He did not know whose closed eyes were there, nor what red lips were fading beneath the earth.",elaboration
"The daughter was taken into the forest where she was torn to pieces by wild beasts, but the witch was cast into the fire and miserably burnt.",elaboration
"That will avail him little, said the bishop.",elaboration
Sparkles made an offer to trade 1 clay for 1 sheep.,elaboration
"And the boy gazed on the large, old bell with the deepest interest.",elaboration
i haave ore,elaboration
who wants clay for wheat?,elaboration
inca made an offer to trade 1 sheep for 1 wheat.,elaboration
"Also, yes.",elaboration
Joel made an offer to trade 1 wheat for 1 ore.,elaboration
"The coffin was carried to the grave, and the disconsolate mother sat with her young daughters.",elaboration
They loved each other much more than the best child can love its father and mother.,elaboration
"The bright morning light shone over Kronenburg, and the wind brought the sound of the hunting-horn across from the neighboring shores.",elaboration
oops,elaboration
Gaeilgeoir made an offer to trade 1 wheat for 1 ore.,elaboration
I got sheep,elaboration
"wood, yes",elaboration
does anybody want a wood or a wheat? ,elaboration
"haha, well played yourself",elaboration
