Sentences of 106_the_poor_millers_boy_and_the_cat,RST Relation 106_the_poor_millers_boy_and_the_cat,Nuclearity,One Label
"So Hans went thither, and did what he was bidden, and when he had finished the work, he carried the scythe, whetstone, and hay to the house, and asked if it was not yet time for her to give him his reward.",Elaboration,S,NEUTRAL
"No, said the cat, you must first do something more for me of the same kind.",evaluation,S,NEUTRAL
"There is timber of silver, carpenters axe, square, and everything that is needful, all of silver, with these build me a small house.",evaluation,S,NEUTRAL
"Then Hans built the small house, and said that he had now done everything, and still he had no horse.",Elaboration,S,NEUTRAL
Nevertheless the seven years had gone by with him as if they were six months.,Contrast,S,NEUTRAL
The cat asked him if he would like to see her horses?,evaluation,S,NEUTRAL
"Yes, said Hans.",Elaboration,S,-
"Then she opened the door of the small house, and when she had opened it, there stood twelve horses, such horses, so bright and shining, that his heart rejoiced at the sight of them.",Contrast,S,JOY
"And now she gave him to eat and drink, and said, Go home, I will not give thee thy horse away with thee; but in three days time I will follow thee and bring it.",Contrast,S,NEUTRAL
"So Hans set out, and she showed him the way to the mill.",Contrast,S,NEUTRAL
"She had, however, never once given him a new coat, and he had been obliged to keep on his dirty old smock-frock, which he had brought with him, and which during the seven years had everywhere become too small for him.",Contrast,S,NEUTRAL
"When he reached home, the two other apprentices were there again as well, and each of them certainly had brought a horse with him, but one of them was a blind one, and the other lame.",Contrast,S,NEUTRAL
They asked Hans where his horse was.,Elaboration,S,NEUTRAL
It will follow me in three days time.,evaluation,S,NEUTRAL
"Then they laughed and said, Indeed, stupid Hans, where wilt thou get a horse?",Contrast,S,ANGER
It will be a fine one!,evaluation,S,ANGER
"Hans went into the parlour, but the miller said he should not sit down to table, for he was so ragged and torn, that they would all be ashamed of him if any one came in.",Contrast,S,ANGER
"So they gave him a mouthful of food outside, and at night, when they went to rest, the two others would not let him have a bed, and at last he was forced to creep into the goose-house, and lie down on a little hard straw.",Contrast,S,NEUTRAL
"In the morning when he awoke, the three days had passed, and a coach came with six horses and they shone so bright that it was delightful to see them! and a servant brought a seventh as well, which was for the poor millers boy.",Contrast,S,JOY
"And a magnificent princess alighted from the coach and went into the mill, and this princess was the little tabby-cat whom poor Hans had served for seven years.",Elaboration,S,JOY
She asked the miller where the millers boy and drudge was?,Elaboration,S,NEUTRAL
"Then the miller said, We cannot have him here in the mill, for he is so ragged; he is lying in the goose-house.",Contrast,S,NEUTRAL
Then the Kings daughter said that they were to bring him immediately.,Contrast,N,NEUTRAL
"So they brought him out, and he had to hold his little smock-frock together to cover himself.",Contrast,S,NEUTRAL
"The servants unpacked splendid garments, and washed him and dressed him, and when that was done, no King could have looked more handsome.",Elaboration,S,-
"Then the maiden desired to see the horses which the other apprentices had brought home with them, and one of them was blind and the other lame.",Elaboration,S,NEUTRAL
"So she ordered the servant to bring the seventh horse, and when the miller saw it, he said that such a horse as that had never yet entered his yard.",Contrast,S,JOY
"And that is for the third millers boy, said she.",Contrast,S,-
"Then he must have the mill, said the miller, but the Kings daughter said that the horse was there, and that he was to keep his mill as well, and took her faithful Hans and set him in the coach, and drove away with him.",Elaboration,S,NEUTRAL
"They first drove to the little house which he had built with the silver tools, and behold it was a great castle, and everything inside it was of silver and gold; and then she married him, and he was rich, so rich that he had enough for all the rest of his life.",Contrast,S,JOY
"After this, let no one ever say that anyone who is silly can never become a person of importance.",Contrast,S,-
Sentences of 114_the_cunning_little_tailor,RST Relation 114_the_cunning_little_tailor,Nuclearity,One Label
There was once on a time a princess who was extremely proud.,Elaboration,N,-
"If a wooer came she gave him some riddle to guess, and if he could not find it out, he was sent contemptuously away.",Contrast,N,-
"She let it be made known also that whosoever solved her riddle should marry her, let him be who he might.",evaluation,N,NEUTRAL
"At length, therefore, three tailors fell in with each other, the two eldest of whom thought they had done so many dexterous bits of work successfully that they could not fail to succeed in this also; the third was a little useless land-louper, who did not even know his trade, but thought he must have some luck in this venture, for where else was it to come from?",Contrast,N,NEUTRAL
"Then the two others said to him, Just stay at home; thou canst not do much with thy little bit of understanding.",Contrast,S,ANGER
"The little tailor, however, did not let himself be discouraged, and said he had set his head to work about this for once, and he would manage well enough, and he went forth as if the whole world were his.",Contrast,S,-
"They all three announced themselves to the princess, and said she was to propound her riddle to them, and that the right persons were now come, who had understandings so fine that they could be threaded in a needle.",Contrast,S,NEUTRAL
"Then said the princess, I have two kinds of hair on my head, of what color is it?",Contrast,S,NEUTRAL
"If that be all, said the first, it must be black and white, like the cloth which is called pepper and salt.",Contrast,S,NEUTRAL
"The princess said, Wrongly guessed; let the second answer.",Elaboration,S,NEUTRAL
"Then said the second, If it be not black and white, then it is brown and red, like my fathers company coat.",Contrast,S,NEUTRAL
"Wrongly guessed, said the princess, let the third give the answer, for I see very well he knows it for certain.",Contrast,S,NEUTRAL
"Then the little tailor stepped boldly forth and said, The princess has a silver and a golden hair on her head, and those are the two different colors.",Contrast,S,-
"When the princess heard that, she turned pale and nearly fell down with terror, for the little tailor had guessed her riddle, and she had firmly believed that no man on earth could discover it.",Contrast,S,-
"When her courage returned she said, Thou hast not won me yet by that; there is still something else that thou must do.",Contrast,S,NEUTRAL
"Below, in the stable is a bear with which thou shalt pass the night, and when I get up in the morning if thou art still alive, thou shalt marry me.",Contrast,S,NEUTRAL
"She expected, however, she should thus get rid of the tailor, for the bear had never yet left any one alive who had fallen into his clutches.",Contrast,S,NEUTRAL
"The little tailor did not let himself be frightened away, but was quite delighted, and said, Boldly ventured is half won.",Elaboration,S,JOY
"When therefore the evening came, our little tailor was taken down to the bear.",Elaboration,S,NEUTRAL
"The bear was about to set at the little fellow at once, and give him a hearty welcome with his paws: Softly, softly, said the little tailor, I will soon make thee quiet.",Contrast,S,-
"Then quite composedly, and as if he had not an anxiety in the world, he took some nuts out of his pocket, cracked them, and ate the kernels.",Contrast,S,JOY
"When the bear saw that, he was seized with a desire to have some nuts too.",Elaboration,N,-
"The tailor felt in his pockets, and reached him a handful; they were, however, not nuts, but pebbles.",Elaboration,S,NEUTRAL
"The bear put them in his mouth, but could get nothing out of them, let him bite as he would.",Enablement,S,-
"Eh! thought he, what a stupid blockhead I am!",Attribution,N,ANGER
"I cannot even crack a nut! and then he said to the tailor, Here, crack me the nuts.",Contrast,S,ANGER
"There, see what a stupid fellow thou art! said the little tailor, to have such a great mouth, and not be able to crack a small nut!",Contrast,S,NEUTRAL
"Then he took the pebble and nimbly put a nut in his mouth in the place of it, and crack, it was in two!",Contrast,S,NEUTRAL
"I must try the thing again, said the bear; when I watch you, I then think I ought to be able to do it too.",evaluation,N,NEUTRAL
"So the tailor once more gave him a pebble, and the bear tried and tried to bite into it with all the strength of his body.",Contrast,S,NEUTRAL
But no one will imagine that he accomplished it.,Contrast,S,NEUTRAL
"When that was over, the tailor took out a violin from beneath his coat, and played a piece of it to himself.",Elaboration,S,NEUTRAL
"When the bear heard the music, he could not help beginning to dance, and when he had danced a while, the thing pleased him so well that he said to the little tailor, Hark you, is the fiddle heavy?",Contrast,S,JOY
Light enough for a child.,Enablement,S,NEUTRAL
"Look, with the left hand I lay my fingers on it, and with the right I stroke it with the bow, and then it goes merrily, hop sa sa vivallalera!",Contrast,S,-
"So, said the bear; fiddling is a thing I should like to understand too, that I might dance whenever I had a fancy.",Contrast,S,-
What dost thou think of that?,Elaboration,S,NEUTRAL
Wilt thou give me lessons?,Elaboration,S,NEUTRAL
"With all my heart, said the tailor, if thou hast a talent for it.",Contrast,S,-
"But just let me see thy claws, they are terribly long, I must cut thy nails a little.",Contrast,S,NEUTRAL
"Then a vise was brought, and the bear put his claws in it, and the little tailor screwed it tight, and said, Now wait until I come with the scissors, and he let the bear growl as he liked, and lay down in the corner on a bundle of straw, and fell asleep.",Contrast,S,ANGER
"When the princess heard the bear growling so fiercely during the night, she believed nothing else but that he was growling for joy, and had made an end of the tailor.",Elaboration,S,NEUTRAL
"In the morning she arose careless and happy, but when she peeped into the stable, the tailor stood gaily before her, and was as healthy as a fish in water.",Contrast,S,-
"Now she could not say another word against the wedding because she had given a promise before every one, and the King ordered a carriage to be brought in which she was to drive to church with the tailor, and there she was to be married.",Contrast,S,NEUTRAL
"When they had got into the carriage, the two other tailors, who had false hearts and envied him his good fortune, went into the stable and unscrewed the bear again.",Contrast,S,-
The bear in great fury ran after the carriage.,Elaboration,S,ANGER
"The princess heard him snorting and growling; she was terrified, and she cried, Ah, the bear is behind us and wants to get thee!",Elaboration,S,FEAR
"The tailor was quick and stood on his head, stuck his legs out of the window, and cried, Dost thou see the vise?",Elaboration,S,NEUTRAL
If thou dost not be off thou shalt be put into it again.,Enablement,S,NEUTRAL
"When the bear saw that, he turned round and ran away.",Elaboration,S,FEAR
"The tailor drove quietly to church, and the princess was married to him at once, and he lived with her as happy as a woodlark.",Elaboration,S,JOY
"Whosoever does not believe this, must pay a thaler.",Contrast,S,NEUTRAL
Sentences of 11_little_brother_and_little_sister,RST Relation 11_little_brother_and_little_sister,Nuclearity,One Label
"Little brother took his little sister by the hand and said, Since our mother died we have had no happiness; our step-mother beats us every day, and if we come near her she kicks us away with her foot.",Contrast,N,SADNESS
"Our meals are the hard crusts of bread that are left over; and the little dog under the table is better off, for she often throws it a nice bit.",evaluation,N,-
May Heaven pity us.,Attribution,S,-
If our mother only knew!,Condition,S,-
"Come, we will go forth together into the wide world.",Condition,S,NEUTRAL
"They walked the whole day over meadows, fields, and stony places; and when it rained the little sister said, Heaven and our hearts are weeping together.",Elaboration,N,SADNESS
"In the evening they came to a large forest, and they were so weary with sorrow and hunger and the long walk, that they lay down in a hollow tree and fell asleep.",Contrast,S,SADNESS
"The next day when they awoke, the sun was already high in the sky, and shone down hot into the tree.",Contrast,S,NEUTRAL
"Then the brother said, Sister, I am thirsty; if I knew of a little brook I would go and just take a drink; I think I hear one running.",Contrast,S,NEUTRAL
"The brother got up and took the little sister by the hand, and they set off to find the brook.",Elaboration,N,NEUTRAL
"But the wicked step-mother was a witch, and had seen how the two children had gone away, and had crept after them privily, as witches do creep, and had bewitched all the brooks in the forest.",Contrast,N,NEUTRAL
"Now when they found a little brook leaping brightly over the stones, the brother was going to drink out of it, but the sister heard how it said as it ran, Who drinks of me will be a tiger; who drinks of me will be a tiger.",evaluation,S,NEUTRAL
"Then the sister cried, Pray, dear brother, do not drink, or you will become a wild beast, and tear me to pieces.",Enablement,N,-
"The brother did not drink, although he was so thirsty, but said, I will wait for the next spring.",Elaboration,S,NEUTRAL
"When they came to the next brook the sister heard this also say, Who drinks of me will be a wolf; who drinks of me will be a wolf.",evaluation,S,NEUTRAL
"Then the sister cried out, Pray, dear brother, do not drink, or you will become a wolf, and devour me.",Enablement,S,-
"The brother did not drink, and said, I will wait until we come to the next spring, but then I must drink, say what you like; for my thirst is too great.",evaluation,S,-
"And when they came to the third brook the sister heard how it said as it ran, Who drinks of me will be a roebuck; who drinks of me will be a roebuck.",evaluation,S,NEUTRAL
"The sister said, Oh, I pray you, dear brother, do not drink, or you will become a roebuck, and run away from me.",evaluation,S,-
"But the brother had knelt down at once by the brook, and had bent down and drunk some of the water, and as soon as the first drops touched his lips he lay there a young roebuck.",Contrast,S,-
"And now the sister wept over her poor bewitched brother, and the little roe wept also, and sat sorrowfully near to her.",Elaboration,S,SADNESS
"But at last the girl said, Be quiet, dear little roe, I will never, never leave you.",Contrast,S,-
"Then she untied her golden garter and put it round the roebucks neck, and she plucked rushes and wove them into a soft cord.",Contrast,S,NEUTRAL
"With this she tied the little beast and led it on, and she walked deeper and deeper into the forest.",Elaboration,S,NEUTRAL
"And when they had gone a very long way they came at last to a little house, and the girl looked in; and as it was empty, she thought, We can stay here and live.",Contrast,S,NEUTRAL
"Then she sought for leaves and moss to make a soft bed for the roe; and every morning she went out and gathered roots and berries and nuts for herself, and brought tender grass for the roe, who ate out of her hand, and was content and played round about her.",Elaboration,S,-
"In the evening, when the sister was tired, and had said her prayer, she laid her head upon the roebucks back: that was her pillow, and she slept softly on it.",Elaboration,S,NEUTRAL
And if only the brother had had his human form it would have been a delightful life.,Contrast,S,NEUTRAL
For some time they were alone like this in the wilderness.,Elaboration,S,NEUTRAL
But it happened that the King of the country held a great hunt in the forest.,Contrast,S,NEUTRAL
"Then the blasts of the horns, the barking of dogs, and the merry shouts of the huntsmen rang through the trees, and the roebuck heard all, and was only too anxious to be there.",Contrast,S,-
"Oh, said he, to his sister, let me be off to the hunt, I cannot bear it any longer; and he begged so much that at last she agreed.",Contrast,S,-
"But, said she to him, come back to me in the evening; I must shut my door for fear of the rough huntsmen, so knock and say, My little sister, let me in! that I may know you; and if you do not say that, I shall not open the door.",Contrast,S,NEUTRAL
Then the young roebuck sprang away; so happy was he and so merry in the open air.,Contrast,S,JOY
"The King and the huntsmen saw the pretty creature, and started after him, but they could not catch him, and when they thought that they surely had him, away he sprang through the bushes and could not be seen.",Elaboration,S,NEUTRAL
"When it was dark he ran to the cottage, knocked, and said, My little sister, let me in.",Elaboration,S,NEUTRAL
"Then the door was opened for him, and he jumped in, and rested himself the whole night through upon his soft bed.",Contrast,S,NEUTRAL
"The next day the hunt went on afresh, and when the roebuck again heard the bugle-horn, and the ho! ho! of the huntsmen, he had no peace, but said, Sister, let me out, I must be off.",Elaboration,S,-
"His sister opened the door for him, and said, But you must be here again in the evening and say your pass-word.",Elaboration,S,NEUTRAL
"When the King and his huntsmen again saw the young roebuck with the golden collar, they all chased him, but he was too quick and nimble for them.",Contrast,S,NEUTRAL
"This went on for the whole day, but at last by the evening the huntsmen had surrounded him, and one of them wounded him a little in the foot, so that he limped and ran slowly.",Contrast,S,NEUTRAL
"Then a hunter crept after him to the cottage and heard how he said, My little sister, let me in, and saw that the door was opened for him, and was shut again at once.",Elaboration,S,NEUTRAL
"The huntsman took notice of it all, and went to the King and told him what he had seen and heard.",Elaboration,S,NEUTRAL
"Then the King said, To-morrow we will hunt once more.",Attribution,S,NEUTRAL
"The little sister, however, was dreadfully frightened when she saw that her fawn was hurt.",Elaboration,S,FEAR
"She washed the blood off him, laid herbs on the wound, and said, Go to your bed, dear roe, that you may get well again.",Elaboration,S,NEUTRAL
"But the wound was so slight that the roebuck, next morning, did not feel it any more.",Contrast,S,NEUTRAL
"And when he again heard the sport outside, he said, I cannot bear it, I must be there; they shall not find it so easy to catch me.",evaluation,S,NEUTRAL
"The sister cried, and said, This time they will kill you, and here am I alone in the forest and forsaken by all the world.",Elaboration,S,-
I will not let you out.,Attribution,S,-
"Then you will have me die of grief, answered the roe; when I hear the bugle-horns I feel as if I must jump out of my skin.",evaluation,S,-
"Then the sister could not do otherwise, but opened the door for him with a heavy heart, and the roebuck, full of health and joy, bounded into the forest.",Contrast,S,-
"When the King saw him, he said to his huntsmen, Now chase him all day long till night-fall, but take care that no one does him any harm.",Contrast,S,NEUTRAL
"As soon as the sun had set, the King said to the huntsman, Now come and show me the cottage in the wood; and when he was at the door, he knocked and called out, Dear little sister, let me in.",Contrast,S,NEUTRAL
"Then the door opened, and the King walked in, and there stood a maiden more lovely than any he had ever seen.",Elaboration,S,-
"The maiden was frightened when she saw, not her little roe, but a man come in who wore a golden crown upon his head.",Elaboration,S,FEAR
"But the King looked kindly at her, stretched out his hand, and said, Will you go with me to my palace and be my dear wife?",Contrast,S,JOY
"Yes, indeed, answered the maiden, but the little roe must go with me, I cannot leave him.",evaluation,S,JOY
"The King said, It shall stay with you as long as you live, and shall want nothing.",evaluation,S,NEUTRAL
"Just then he came running in, and the sister again tied him with the cord of rushes, took it in her own hand, and went away with the King from the cottage.",Contrast,S,NEUTRAL
"The King took the lovely maiden upon his horse and carried her to his palace, where the wedding was held with great pomp.",Elaboration,S,NEUTRAL
"She was now the Queen, and they lived for a long time happily together; the roebuck was tended and cherished, and ran about in the palace-garden.",Elaboration,S,JOY
"But the wicked step-mother, because of whom the children had gone out into the world, thought all the time that the sister had been torn to pieces by the wild beasts in the wood, and that the brother had been shot for a roebuck by the huntsmen.",Contrast,S,NEUTRAL
"Now when she heard that they were so happy, and so well off, envy and hatred rose in her heart and left her no peace, and she thought of nothing but how she could bring them again to misfortune.",Elaboration,S,ANGER
"Her own daughter, who was ugly as night, and had only one eye, grumbled at her and said, A Queen! that ought to have been my luck.",Elaboration,S,-
"Only be quiet, answered the old woman, and comforted her by saying, when the time comes I shall be ready.",evaluation,S,ANGER
"As time went on, the Queen had a pretty little boy, and it happened that the King was out hunting; so the old witch took the form of the chamber-maid, went into the room where the Queen lay, and said to her, Come, the bath is ready; it will do you good, and give you fresh strength; make haste before it gets cold.",Contrast,S,NEUTRAL
"The daughter also was close by; so they carried the weakly Queen into the bath-room, and put her into the bath; then they shut the door and ran away.",Elaboration,S,NEUTRAL
But in the bath-room they had made a fire of such deadly heat that the beautiful young Queen was soon suffocated.,Contrast,S,-
"When this was done the old woman took her daughter, put a nightcap on her head, and laid her in bed in place of the Queen.",Elaboration,S,NEUTRAL
"She gave her too the shape and the look of the Queen, only she could not make good the lost eye.",Contrast,S,NEUTRAL
"But in order that the King might not see it, she was to lie on the side on which she had no eye.",Contrast,S,NEUTRAL
"In the evening when he came home and heard that he had a son he was heartily glad, and was going to the bed of his dear wife to see how she was.",Elaboration,S,JOY
"But the old woman quickly called out, For your life leave the curtains closed; the Queen ought not to see the light yet, and must have rest.",Contrast,S,NEUTRAL
"The King went away, and did not find out that a false Queen was lying in the bed.",Elaboration,S,NEUTRAL
"But at midnight, when all slept, the nurse, who was sitting in the nursery by the cradle, and who was the only person awake, saw the door open and the true Queen walk in.",Contrast,S,NEUTRAL
"She took the child out of the cradle, laid it on her arm, and suckled it.",Elaboration,S,NEUTRAL
"Then she shook up its pillow, laid the child down again, and covered it with the little quilt.",Contrast,S,NEUTRAL
"And she did not forget the roebuck, but went into the corner where it lay, and stroked its back.",Elaboration,S,NEUTRAL
Then she went quite silently out of the door again.,Contrast,S,NEUTRAL
"The next morning the nurse asked the guards whether anyone had come into the palace during the night, but they answered, No, we have seen no one.",Elaboration,S,NEUTRAL
"She came thus many nights and never spoke a word: the nurse always saw her, but she did not dare to tell anyone about it.",Elaboration,S,-
"When some time had passed in this manner, the Queen began to speak in the night, and said---",Elaboration,S,NEUTRAL
"How fares my child, how fares my roe?",Elaboration,S,NEUTRAL
"Twice shall I come, then never more.",Contrast,S,NEUTRAL
"The nurse did not answer, but when the Queen had gone again, went to the King and told him all.",Elaboration,S,NEUTRAL
"The King said, Ah, heavens! what is this?",Elaboration,S,SADNESS
To-morrow night I will watch by the child.,evaluation,S,NEUTRAL
"In the evening he went into the nursery, and at midnight the Queen again appeared and said---",Contrast,S,NEUTRAL
"How fares my child, how fares my roe?",Elaboration,S,NEUTRAL
"Once will I come, then never more.",Contrast,S,NEUTRAL
And she nursed the child as she was wont to do before she disappeared.,Attribution,S,NEUTRAL
"The King dared not speak to her, but on the next night he watched again.",Elaboration,S,-
Then she said---,Attribution,S,NEUTRAL
"How fares my child, how fares my roe?",Elaboration,S,NEUTRAL
"This time I come, then never more.",Attribution,S,NEUTRAL
"Then the King could not restrain himself; he sprang towards her, and said, You can be none other than my dear wife.",Contrast,S,-
"She answered, Yes, I am your dear wife, and at the same moment she received life again, and by Gods grace became fresh, rosy, and full of health.",Contrast,S,JOY
Then she told the King the evil deed which the wicked witch and her daughter had been guilty of towards her.,Elaboration,S,NEUTRAL
"The King ordered both to be led before the judge, and judgment was delivered against them.",Elaboration,S,NEUTRAL
"The daughter was taken into the forest where she was torn to pieces by wild beasts, but the witch was cast into the fire and miserably burnt.",Elaboration,S,NEUTRAL
"And as soon as she was burnt the roebuck changed his shape, and received his human form again, so the sister and brother lived happily together all their lives.",Contrast,S,JOY
Sentences of 13_the_three_little_men_in_the_wood,RST Relation 13_the_three_little_men_in_the_wood,Nuclearity,One Label
"There was once a man whose wife died, and a woman whose husband died, and the man had a daughter, and the woman also had a daughter.",Elaboration,N,NEUTRAL
"The girls were acquainted with each other, and went out walking together, and afterwards came to the woman in her house.",Elaboration,N,NEUTRAL
"Then said she to the mans daughter, Listen, tell thy father that I would like to marry him, and then thou shalt wash thyself in milk every morning, and drink wine, but my own daughter shall wash herself in water and drink water.",evaluation,N,NEUTRAL
"The girl went home, and told her father what the woman had said.",Elaboration,N,NEUTRAL
"The man said, What shall I do?",Elaboration,S,NEUTRAL
Marriage is a joy and also a torment.,evaluation,N,NEUTRAL
"At length as he could come to no decision, he pulled off his boot, and said, Take this boot, it has a hole in the sole of it.",Contrast,S,NEUTRAL
"Go with it up to the loft, hang it on the big nail, and then pour water into it.",Enablement,N,NEUTRAL
"If it hold the water, then I will again take a wife, but if it run through, I will not.",Contrast,S,NEUTRAL
"The girl did as she was ordered, but the water drew the hole together, and the boot became full to the top.",Elaboration,N,NEUTRAL
She informed her father how it had turned out.,Elaboration,S,NEUTRAL
"Then he himself went up, and when he saw that she was right, he went to the widow and wooed her, and the wedding was celebrated.",temporal,S,-
"The next morning, when the two girls got up, there stood before the mans daughter milk for her to wash in and wine for her to drink, but before the womans daughter stood water to wash herself with and water for drinking.",Enablement,N,NEUTRAL
"On the second morning, stood water for washing and water for drinking before the mans daughter as well as before the womans daughter.",Contrast,S,NEUTRAL
"And on the third morning stood water for washing and water for drinking before the mans daughter, and milk for washing and wine for drinking, before the womans daughter, and so it continued.",joint,S,NEUTRAL
"The woman became bitterly unkind to her step-daughter, and day by day did her best to treat her still worse.",Elaboration,S,-
"She was also envious because her step-daughter was beautiful and lovable, and her own daughter ugly and repulsive.",Elaboration,S,-
"Once, in winter, when everything was frozen as hard as a stone, and hill and vale lay covered with snow, the woman made a frock of paper, called her step-daughter, and said, Here, put on this dress and go out into the wood, and fetch me a little basketful of strawberries,---I have a fancy for some.",Contrast,S,NEUTRAL
"Good heavens! said the girl, no strawberries grow in winter!",Enablement,S,SADNESS
"The ground is frozen, and besides the snow has covered everything.",Elaboration,S,-
And why am I to go in this paper frock?,joint,S,SADNESS
It is so cold outside that ones very breath freezes!,Contrast,S,SADNESS
"The wind will blow through the frock, and the thorns will tear it off my body.",evaluation,S,SADNESS
"Wilt thou contradict me again? said the stepmother, See that thou goest, and do not show thy face again until thou hast the basketful of strawberries!",Contrast,N,ANGER
"Then she gave her a little piece of hard bread, and said, This will last thee the day, and thought, Thou wilt die of cold and hunger outside, and wilt never be seen again by me.",Contrast,S,-
"Then the maiden was obedient, and put on the paper frock, and went out with the basket.",Contrast,S,NEUTRAL
"Far and wide there was nothing but snow, and not a green blade to be seen.",Elaboration,S,NEUTRAL
When she got into the wood she saw a small house out of which peeped three dwarfs.,Elaboration,S,NEUTRAL
"She wished them good day, and knocked modestly at the door.",Elaboration,S,NEUTRAL
"They cried, Come in, and she entered the room and seated herself on the bench by the stove, where she began to warm herself and eat her breakfast.",Elaboration,N,NEUTRAL
"The elves said, Give us, too, some of it.",Elaboration,N,NEUTRAL
"Willingly, she said, and divided her bit of bread in two and gave them the half.",Elaboration,S,NEUTRAL
"They asked, What dost thou here in the forest in the winter time, in thy thin dress?",evaluation,S,-
"Ah, she answered, I am to look for a basketful of strawberries, and am not to go home until I can take them with me.",evaluation,S,NEUTRAL
"When she had eaten her bread, they gave her a broom and said, Sweep away the snow at the back door with it.",Elaboration,S,NEUTRAL
"But when she was outside, the three little men said to each other, What shall we give her as she is so good, and has shared her bread with us?",Contrast,S,NEUTRAL
"Then said the first, My gift is, that she shall every day grow more beautiful.",evaluation,S,-
"The second said, My gift is, that gold pieces shall fall out of her mouth every time she speaks.",evaluation,S,-
"The third said, My gift is, that a king shall come and take her to wife.",evaluation,S,-
"The girl, however, did as the little men had bidden her, swept away the snow behind the little house with the broom, and what did she find but real ripe strawberries, which came up quite dark-red out of the snow!",Contrast,S,-
"In her joy she hastily gathered her basket full, thanked the little men, shook hands with each of them, and ran home to take her step-mother what she had longed for so much.",Contrast,S,JOY
"When she went in and said good-evening, a piece of gold at once fell from her mouth.",Background,S,NEUTRAL
"Thereupon she related what had happened to her in the wood, but with every word she spoke, gold pieces fell from her mouth, until very soon the whole room was covered with them.",Contrast,S,-
"Now look at her arrogance, cried the step-sister, to throw about gold in that way! but she was secretly envious of it, and wanted to go into the forest also to seek strawberries.",Contrast,S,ANGER
"The mother said, No, my dear little daughter, it is too cold, thou mightest die of cold.",evaluation,S,NEUTRAL
"However, as her daughter let her have no peace, the mother at last yielded, made her a magnificent dress of fur, which she was obliged to put on, and gave her bread-and-butter and cake with her.",Contrast,S,NEUTRAL
The girl went into the forest and straight up to the little house.,Elaboration,S,NEUTRAL
"The three little elves peeped out again, but she did not greet them, and without looking round at them and without speaking to them, she went awkwardly into the room, seated herself by the stove, and began to eat her bread-and-butter and cake.",Contrast,S,NEUTRAL
